AB,MCTS,A0G1,A0G2

5.6802954164695,5.7608704972166835,6.064415614154786,5.725856327540921
3.980427245830605,4.205485261216315,4.037703240196302,3.966398310926353
3.1234330704267834,3.240819775989191,3.1833541973661954,3.2272811843996685
2.603525776415431,2.7642494737338326,2.6429317530039955,2.67967450850262
2.2928913210708837,2.334701049329491,2.2959972404130964,2.325522490557912
2.053531026241232,2.086449593026883,2.092253883349915,2.0813914964984708
1.8618935268043333,1.8883783451451153,1.8906939873229422,1.8901944872901206
1.7259231676369646,1.748413575029162,1.7683210712263022,1.7553318480374869
1.604978914694309,1.6240516066669788,1.6327428794422136,1.625534818400128
1.514019505267674,1.530731105563058,1.546129380842985,1.5343640996566366
1.439649458029456,1.4499374117937738,1.460777189113939,1.4511448688085529
1.3738293674257749,1.3801886977759448,1.398932311761171,1.3847341454956932
1.3139977180194933,1.3220207653066216,1.3314288913030972,1.3243397426170027
1.264627326460728,1.2702585321899,1.2840562944967442,1.2744066768720776
1.2236434738820974,1.225655355117293,1.2371194667946286,1.2287292211228371
1.1850428959159183,1.1870035988535426,1.201545998378854,1.1915516640365178
